productName,category,batchNum,supplier,date,availableQty,damageQty,displayQty,description,isNil,isCancelled
RP 1 HG,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
RP 2 HG,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
2061 VNR,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
E25 2040 HZ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
E25 2041 HZ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
E35 563 ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
E35 576,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,1,0,,FALSE,FALSE
E35 1083,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
E35 1135,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
E36 1077,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
E36 1083,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
 E37 1165 HZ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
E37 1185 HZ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,3,0,,FALSE,FALSE
E37 1186 HZ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
E37 2042 HZ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
E40 1166,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,4,0,,FALSE,FALSE
E40 1170,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
E40 1171,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,9,0,0,,FALSE,FALSE
E40 2020,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
E40 2021,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
E40 2038,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
E40 2058,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,9,0,0,,FALSE,FALSE
E40 2062,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,21,0,0,,FALSE,FALSE
E40 2063,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,14,0,0,,FALSE,FALSE
E42 1179,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,10,0,0,,FALSE,FALSE
E42 1180,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,2,0,0,,FALSE,FALSE
E42 2037,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,12,0,0,,FALSE,FALSE
E42 2059,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
E43 534,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
E43 1181,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,1,0,,FALSE,FALSE
E43 1183,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,15,0,0,,FALSE,FALSE
E43 1184,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
E44 1166 HZ,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
E45 1137,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,1,0,,FALSE,FALSE
E45 1138,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
E45 1165,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,1,0,,FALSE,FALSE
E45 1169,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,FALSE
E45 2014,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,FALSE,FALSE
E45 2035,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,9,0,0,,FALSE,FALSE
E45 2036,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,9,0,0,,FALSE,FALSE
E46 2040,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,1,0,,FALSE,FALSE
E48 1168,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,9,0,0,,FALSE,FALSE
E48 2011,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,0,0,0,,TRUE,FALSE
E48 2015,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
E48 2018,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,1,0,,FALSE,FALSE
E49 2014,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
